ano,pais,kg,us$,us$/kg
2021,Granada,0,0,0.0
2022,Granada,1122,3050,2.7183600713012477
2023,Granada,0,0,0.0
2008,Grécia,0,0,0.0
2009,Grécia,0,0,0.0
2010,Grécia,0,0,0.0
2011,Grécia,0,0,0.0
2012,Grécia,0,0,0.0
2013,Grécia,0,0,0.0
2014,Grécia,0,0,0.0
2015,Grécia,0,0,0.0
2016,Grécia,0,0,0.0
2017,Grécia,0,0,0.0
2018,Grécia,63,391,6.2063492063492065
2019,Grécia,74,280,3.7837837837837838
2020,Grécia,97,309,3.185567010309278
2021,Grécia,147,360,2.4489795918367347
2022,Grécia,38,177,4.657894736842105
2023,Grécia,59,320,5.423728813559322
2008,Guatemala,0,0,0.0
2009,Guatemala,0,0,0.0
2010,Guatemala,4,10,2.5
2011,Guatemala,0,0,0.0
2012,Guatemala,0,0,0.0
2013,Guatemala,0,0,0.0
2014,Guatemala,0,0,0.0
2015,Guatemala,0,0,0.0
2016,Guatemala,0,0,0.0
2017,Guatemala,0,0,0.0
2018,Guatemala,206,1052,5.106796116504855
2019,Guatemala,446,2933,6.576233183856503
2020,Guatemala,760,4318,5.681578947368421
2021,Guatemala,0,0,0.0
2022,Guatemala,284,1527,5.376760563380282
2023,Guatemala,0,0,0.0
2008,Guiana,0,0,0.0
2009,Guiana,0,0,0.0
2010,Guiana,0,0,0.0
2011,Guiana,0,0,0.0
2012,Guiana,0,0,0.0
2013,Guiana,14,93,6.642857142857143
2014,Guiana,1,6,6.0
2015,Guiana,22,221,10.045454545454545
2016,Guiana,0,0,0.0
2017,Guiana,4,61,15.25
2018,Guiana,0,0,0.0
2019,Guiana,0,0,0.0
2020,Guiana,0,0,0.0
2021,Guiana,0,0,0.0
2022,Guiana,5553,26216,4.721051683774537
2023,Guiana,14084,71163,5.05275489917637
2008,Guiné Equatorial,2,416,208.0
2009,Guiné Equatorial,0,0,0.0
2010,Guiné Equatorial,0,0,0.0
2011,Guiné Equatorial,0,0,0.0
2012,Guiné Equatorial,0,0,0.0
2013,Guiné Equatorial,0,0,0.0
2014,Guiné Equatorial,0,0,0.0
2015,Guiné Equatorial,0,0,0.0
2016,Guiné Equatorial,7738,17056,2.2041871284569656
2017,Guiné Equatorial,0,0,0.0
2018,Guiné Equatorial,0,0,0.0
2019,Guiné Equatorial,0,0,0.0
2020,Guiné Equatorial,0,0,0.0
2021,Guiné Equatorial,0,0,0.0
2022,Guiné Equatorial,0,0,0.0
2023,Guiné Equatorial,0,0,0.0
2008,Guiné-Bissau,0,0,0.0
2009,Guiné-Bissau,0,0,0.0
2010,Guiné-Bissau,0,0,0.0
2011,Guiné-Bissau,0,0,0.0
2012,Guiné-Bissau,0,0,0.0
2013,Guiné-Bissau,0,0,0.0
2014,Guiné-Bissau,0,0,0.0
2015,Guiné-Bissau,0,0,0.0
2016,Guiné-Bissau,0,0,0.0
2017,Guiné-Bissau,0,0,0.0
2018,Guiné-Bissau,0,0,0.0
2019,Guiné-Bissau,0,0,0.0
2020,Guiné-Bissau,0,0,0.0
2021,Guiné-Bissau,0,0,0.0
2022,Guiné-Bissau,0,0,0.0
2023,Guiné-Bissau,0,0,0.0
2008,Haiti,0,0,0.0
2009,Haiti,0,0,0.0
2010,Haiti,0,0,0.0
2011,Haiti,0,0,0.0
2012,Haiti,0,0,0.0
2013,Haiti,48,174,3.625
2014,Haiti,0,0,0.0
2015,Haiti,0,0,0.0
2016,Haiti,0,0,0.0
2017,Haiti,0,0,0.0
2018,Haiti,0,0,0.0
2019,Haiti,0,0,0.0
2020,Haiti,1331,2737,2.0563486100676185
2021,Haiti,4978,11440,2.2981116914423465
2022,Haiti,4842,9417,1.9448574969021066
2023,Haiti,3969,10646,2.6822877299067773
2008,Honduras,54,202,3.740740740740741
2009,Honduras,0,0,0.0
2010,Honduras,0,0,0.0
2011,Honduras,55,120,2.1818181818181817
2012,Honduras,0,0,0.0
2013,Honduras,0,0,0.0
2014,Honduras,0,0,0.0
2015,Honduras,0,0,0.0
2016,Honduras,0,0,0.0
2017,Honduras,0,0,0.0
2018,Honduras,0,0,0.0
2019,Honduras,0,0,0.0
2020,Honduras,0,0,0.0
2021,Honduras,0,0,0.0
2022,Honduras,0,0,0.0
2023,Honduras,0,0,0.0
2008,Hong Kong,810,4054,5.004938271604939
2009,Hong Kong,120,505,4.208333333333333
2010,Hong Kong,0,0,0.0
2011,Hong Kong,424,1620,3.8207547169811322
2012,Hong Kong,320,2753,8.603125
2013,Hong Kong,586,4149,7.080204778156997
2014,Hong Kong,7556,32582,4.312069878242457
2015,Hong Kong,414,2693,6.504830917874396
2016,Hong Kong,225,1704,7.573333333333333
2017,Hong Kong,450,2705,6.011111111111111
2018,Hong Kong,225,1704,7.573333333333333
2019,Hong Kong,2801,10173,3.6319171724384147
2020,Hong Kong,4124,11770,2.8540252182347237
2021,Hong Kong,3669,13135,3.579994548923412
2022,Hong Kong,1175,5328,4.534468085106383
2023,Hong Kong,1355,5169,3.814760147601476
2008,Hungria,0,0,0.0
2009,Hungria,0,0,0.0
2010,Hungria,0,0,0.0
2011,Hungria,0,0,0.0
2012,Hungria,0,0,0.0
2013,Hungria,0,0,0.0
2014,Hungria,0,0,0.0
2015,Hungria,0,0,0.0
2016,Hungria,0,0,0.0
2017,Hungria,0,0,0.0
2018,Hungria,0,0,0.0
2019,Hungria,0,0,0.0
2020,Hungria,0,0,0.0
2021,Hungria,96,668,6.958333333333333
2022,Hungria,0,0,0.0
2023,Hungria,0,0,0.0
2008,Ilha de Man,0,0,0.0
2009,Ilha de Man,0,0,0.0
2010,Ilha de Man,0,0,0.0
2011,Ilha de Man,0,0,0.0
2012,Ilha de Man,0,0,0.0
2013,Ilha de Man,0,0,0.0
2014,Ilha de Man,0,0,0.0
2015,Ilha de Man,0,0,0.0
2016,Ilha de Man,0,0,0.0
2017,Ilha de Man,0,0,0.0
2018,Ilha de Man,0,0,0.0
2019,Ilha de Man,0,0,0.0
2020,Ilha de Man,0,0,0.0
2021,Ilha de Man,0,0,0.0
2022,Ilha de Man,2,20,10.0
2023,Ilha de Man,0,0,0.0
2008,Índia,0,0,0.0
2009,Índia,0,0,0.0
2010,Índia,0,0,0.0
2011,Índia,0,0,0.0
2012,Índia,0,0,0.0
2013,Índia,0,0,0.0
2014,Índia,0,0,0.0
2015,Índia,0,0,0.0
2016,Índia,0,0,0.0
2017,Índia,0,0,0.0
2018,Índia,0,0,0.0
2019,Índia,18,40,2.2222222222222223
2020,Índia,25,80,3.2
2021,Índia,0,26,0.0
2022,Índia,0,0,0.0
2023,Índia,0,0,0.0
2008,Iraque,0,0,0.0
2009,Iraque,0,0,0.0
2010,Iraque,0,0,0.0
2011,Iraque,0,0,0.0
2012,Iraque,0,0,0.0
2013,Iraque,0,0,0.0
2014,Iraque,0,0,0.0
2015,Iraque,0,0,0.0
2016,Iraque,0,0,0.0
2017,Iraque,0,0,0.0
2018,Iraque,0,0,0.0
2019,Iraque,0,0,0.0
2020,Iraque,0,0,0.0
2021,Iraque,0,0,0.0
2022,Iraque,0,0,0.0
2023,Iraque,0,0,0.0
2008,Irlanda,0,0,0.0
2009,Irlanda,0,0,0.0
2010,Irlanda,360,3012,8.366666666666667
2011,Irlanda,1335,9411,7.049438202247191
2012,Irlanda,450,4200,9.333333333333334
2013,Irlanda,1373,14599,10.63292061179898
2014,Irlanda,0,0,0.0
2015,Irlanda,0,0,0.0
2016,Irlanda,0,0,0.0
2017,Irlanda,0,0,0.0
2018,Irlanda,0,0,0.0
2019,Irlanda,14,26,1.8571428571428572
2020,Irlanda,0,0,0.0
2021,Irlanda,0,0,0.0
2022,Irlanda,6,22,3.6666666666666665
2023,Irlanda,0,0,0.0
2008,Islândia,0,0,0.0
2009,Islândia,0,0,0.0
2010,Islândia,0,0,0.0
2011,Islândia,0,0,0.0
2012,Islândia,0,0,0.0
2013,Islândia,0,0,0.0
2014,Islândia,0,0,0.0
2015,Islândia,0,0,0.0
2016,Islândia,0,0,0.0
2017,Islândia,0,0,0.0
2018,Islândia,0,0,0.0
2019,Islândia,0,0,0.0
2020,Islândia,10,45,4.5
2021,Islândia,0,0,0.0
2022,Islândia,0,0,0.0
2023,Islândia,0,0,0.0
2008,Itália,0,0,0.0
2009,Itália,2369,6590,2.7817644575770366
2010,Itália,99,390,3.9393939393939394
2011,Itália,1602,9002,5.619225967540574
2012,Itália,90,1894,21.044444444444444
2013,Itália,315,1926,6.114285714285714
2014,Itália,180,832,4.622222222222222
2015,Itália,0,0,0.0
2016,Itália,135,780,5.777777777777778
2017,Itália,1467,8382,5.713701431492843
2018,Itália,1307,5331,4.078806426931905
2019,Itália,522,2445,4.683908045977011
2020,Itália,150,253,1.6866666666666668
2021,Itália,172,879,5.1104651162790695
2022,Itália,503,3702,7.359840954274354
2023,Itália,1460,19905,13.633561643835616
2008,Japão,964,3578,3.711618257261411
2009,Japão,2900,8650,2.9827586206896552
2010,Japão,4737,15240,3.2172260924635845
2011,Japão,632,2480,3.9240506329113924
2012,Japão,1197,8217,6.864661654135339
2013,Japão,17009,83445,4.905932153565759
2014,Japão,22290,104395,4.683490354419022
2015,Japão,1826,18118,9.92223439211391
2016,Japão,3658,14766,4.036632039365774
2017,Japão,48604,133203,2.740576907250432
2018,Japão,7853,34532,4.397300394753597
2019,Japão,10242,41567,4.058484670962702
2020,Japão,7294,28930,3.966273649574993
2021,Japão,6811,27860,4.090441932168551
2022,Japão,2970,12049,4.056902356902357
2023,Japão,2311,9708,4.200778883600173
2008,Jordânia,0,0,0.0
2009,Jordânia,0,0,0.0
2010,Jordânia,0,0,0.0
2011,Jordânia,0,0,0.0
2012,Jordânia,0,0,0.0
2013,Jordânia,0,0,0.0
2014,Jordânia,0,0,0.0
2015,Jordânia,0,0,0.0
2016,Jordânia,0,0,0.0
2017,Jordânia,0,0,0.0
2018,Jordânia,0,0,0.0
2019,Jordânia,0,0,0.0
2020,Jordânia,30,103,3.433333333333333
2021,Jordânia,0,0,0.0
2022,Jordânia,0,0,0.0
2023,Jordânia,0,0,0.0
2008,Letônia,0,0,0.0
2009,Letônia,0,0,0.0
2010,Letônia,0,0,0.0
2011,Letônia,0,0,0.0
2012,Letônia,0,0,0.0
2013,Letônia,0,0,0.0
2014,Letônia,0,0,0.0
2015,Letônia,0,0,0.0
2016,Letônia,0,0,0.0
2017,Letônia,158,2426,15.354430379746836
2018,Letônia,0,0,0.0
2019,Letônia,0,0,0.0
2020,Letônia,0,0,0.0
2021,Letônia,0,0,0.0
2022,Letônia,0,0,0.0
2023,Letônia,0,0,0.0
2008,Líbano,0,0,0.0
2009,Líbano,0,0,0.0
2010,Líbano,0,0,0.0
2011,Líbano,0,0,0.0
2012,Líbano,0,0,0.0
2013,Líbano,0,0,0.0
2014,Líbano,0,0,0.0
2015,Líbano,0,0,0.0
2016,Líbano,0,0,0.0
2017,Líbano,0,0,0.0
2018,Líbano,0,0,0.0
2019,Líbano,29,108,3.7241379310344827
2020,Líbano,0,0,0.0
2021,Líbano,540,1930,3.574074074074074
2022,Líbano,1350,4810,3.562962962962963
2023,Líbano,0,0,0.0
2008,Libéria,0,0,0.0
2009,Libéria,0,0,0.0
2010,Libéria,0,0,0.0
2011,Libéria,0,0,0.0
2012,Libéria,0,0,0.0
2013,Libéria,0,0,0.0
2014,Libéria,0,0,0.0
2015,Libéria,0,0,0.0
2016,Libéria,0,0,0.0
2017,Libéria,0,0,0.0
2018,Libéria,300,444,1.48
2019,Libéria,1207,2420,2.0049710024855014
2020,Libéria,1105,6684,6.048868778280543
2021,Libéria,795,2509,3.1559748427672956
2022,Libéria,1105,3367,3.0470588235294116
2023,Libéria,973,3358,3.4511819116135665
2008,Luxemburgo,1683,6367,3.7831253713606654
2009,Luxemburgo,993,3963,3.990936555891239
2010,Luxemburgo,846,4975,5.880614657210402
2011,Luxemburgo,471,2873,6.099787685774947
2012,Luxemburgo,0,0,0.0
2013,Luxemburgo,765,3973,5.193464052287582
2014,Luxemburgo,1080,5790,5.361111111111111
2015,Luxemburgo,0,0,0.0
2016,Luxemburgo,45,521,11.577777777777778
2017,Luxemburgo,360,1825,5.069444444444445
2018,Luxemburgo,113,655,5.79646017699115
2019,Luxemburgo,495,2474,4.997979797979798
2020,Luxemburgo,0,0,0.0
2021,Luxemburgo,0,0,0.0
2022,Luxemburgo,0,0,0.0
2023,Luxemburgo,18,305,16.944444444444443
2008,Maldivas,0,0,0.0
2009,Maldivas,0,0,0.0
2010,Maldivas,0,0,0.0
2011,Maldivas,0,0,0.0
2012,Maldivas,0,0,0.0
2013,Maldivas,0,0,0.0
2014,Maldivas,0,0,0.0
2015,Maldivas,0,0,0.0
2016,Maldivas,0,0,0.0
2017,Maldivas,0,0,0.0
2018,Maldivas,0,0,0.0
2019,Maldivas,0,0,0.0
2020,Maldivas,0,0,0.0
2021,Maldivas,3023,12327,4.077737347006285
2022,Maldivas,3221,10680,3.3157404532753803
2023,Maldivas,4577,20204,4.414245138737164
2008,Malta,0,0,0.0
2009,Malta,0,0,0.0
2010,Malta,0,0,0.0
2011,Malta,0,0,0.0
2012,Malta,0,0,0.0
2013,Malta,0,0,0.0
2014,Malta,0,0,0.0
2015,Malta,0,0,0.0
2016,Malta,0,0,0.0
2017,Malta,0,0,0.0
2018,Malta,0,0,0.0
2019,Malta,359,1317,3.668523676880223
2020,Malta,1692,2862,1.6914893617021276
2021,Malta,364,2289,6.288461538461538
2022,Malta,191,822,4.303664921465969
2023,Malta,1472,44498,30.22961956521739
2008,"Marshall, Ilhas",0,0,0.0
2009,"Marshall, Ilhas",0,0,0.0
2010,"Marshall, Ilhas",0,0,0.0
2011,"Marshall, Ilhas",0,0,0.0
2012,"Marshall, Ilhas",0,0,0.0
2013,"Marshall, Ilhas",0,0,0.0
2014,"Marshall, Ilhas",0,0,0.0
2015,"Marshall, Ilhas",0,0,0.0
2016,"Marshall, Ilhas",0,0,0.0
2017,"Marshall, Ilhas",0,0,0.0
2018,"Marshall, Ilhas",158,604,3.8227848101265822
2019,"Marshall, Ilhas",1594,2853,1.789836888331242
2020,"Marshall, Ilhas",2093,4587,2.191591017677974
2021,"Marshall, Ilhas",1057,4087,3.866603595080416
2022,"Marshall, Ilhas",1154,3438,2.979202772963605
2023,"Marshall, Ilhas",1375,4886,3.5534545454545454
2008,Montenegro,0,0,0.0
2009,Montenegro,0,0,0.0
2010,Montenegro,0,0,0.0
2011,Montenegro,0,0,0.0
2012,Montenegro,0,0,0.0
2013,Montenegro,0,0,0.0
2014,Montenegro,0,0,0.0
2015,Montenegro,0,0,0.0
2016,Montenegro,0,0,0.0
2017,Montenegro,0,0,0.0
2018,Montenegro,0,0,0.0
2019,Montenegro,0,0,0.0
2020,Montenegro,0,0,0.0
2021,Montenegro,9,24,2.6666666666666665
2022,Montenegro,0,0,0.0
2023,Montenegro,0,0,0.0
2008,México,0,0,0.0
2009,México,0,0,0.0
2010,México,95328,24000,0.25176233635448136
2011,México,0,0,0.0
2012,México,0,0,0.0
2013,México,0,0,0.0
2014,México,0,0,0.0
2015,México,0,0,0.0
2016,México,0,0,0.0
2017,México,0,0,0.0
2018,México,737,2476,3.359565807327001
2019,México,0,0,0.0
2020,México,0,0,0.0
2021,México,0,0,0.0
2022,México,0,0,0.0
2023,México,0,0,0.0
2008,Nicarágua,0,0,0.0
2009,Nicarágua,0,0,0.0
2010,Nicarágua,20,40,2.0
2011,Nicarágua,39,20,0.5128205128205128
2012,Nicarágua,0,0,0.0
2013,Nicarágua,0,0,0.0
2014,Nicarágua,0,0,0.0
2015,Nicarágua,0,0,0.0
2016,Nicarágua,0,0,0.0
2017,Nicarágua,0,0,0.0
2018,Nicarágua,0,0,0.0
2019,Nicarágua,0,0,0.0
2020,Nicarágua,0,0,0.0
2021,Nicarágua,0,0,0.0
2022,Nicarágua,0,0,0.0
2023,Nicarágua,0,0,0.0
2008,Nigéria,0,0,0.0
2009,Nigéria,0,0,0.0
2010,Nigéria,0,0,0.0
2011,Nigéria,108,506,4.685185185185185
2012,Nigéria,388,1984,5.11340206185567
2013,Nigéria,0,0,0.0
2014,Nigéria,0,0,0.0
2015,Nigéria,0,0,0.0
2016,Nigéria,68,445,6.544117647058823
2017,Nigéria,0,0,0.0
2018,Nigéria,976,4029,4.128073770491803
2019,Nigéria,1809,7513,4.1531232725262575
2020,Nigéria,4613,15728,3.409494905701279
2021,Nigéria,0,0,0.0
2022,Nigéria,6705,32586,4.859955257270694
2023,Nigéria,0,0,0.0
2008,Noruega,0,0,0.0
2009,Noruega,0,0,0.0
2010,Noruega,0,0,0.0
2011,Noruega,3693,21352,5.781749255347956
2012,Noruega,1534,15933,10.386571056062582
2013,Noruega,567,3904,6.885361552028218
2014,Noruega,24616,119690,4.862284692882678
2015,Noruega,3192,10099,3.1638471177944862
2016,Noruega,0,0,0.0
2017,Noruega,0,0,0.0
2018,Noruega,81,300,3.7037037037037037
2019,Noruega,345,505,1.463768115942029
2020,Noruega,172,321,1.8662790697674418
2021,Noruega,37,155,4.1891891891891895
2022,Noruega,483,9852,20.39751552795031
2023,Noruega,0,0,0.0
2008,Nova Zelândia,0,0,0.0
2009,Nova Zelândia,0,0,0.0
2010,Nova Zelândia,0,0,0.0
2011,Nova Zelândia,291,1606,5.518900343642612
2012,Nova Zelândia,150,1021,6.806666666666667
2013,Nova Zelândia,150,970,6.466666666666667
2014,Nova Zelândia,150,554,3.6933333333333334
2015,Nova Zelândia,233,822,3.5278969957081543
2016,Nova Zelândia,0,0,0.0
2017,Nova Zelândia,196,1021,5.209183673469388
2018,Nova Zelândia,15,168,11.2
2019,Nova Zelândia,0,0,0.0
2020,Nova Zelândia,0,0,0.0
2021,Nova Zelândia,0,0,0.0
2022,Nova Zelândia,0,0,0.0
2023,Nova Zelândia,303,4231,13.963696369636963
2008,Países Baixos (Holanda),0,0,0.0
2009,Países Baixos (Holanda),2250,11276,5.011555555555556
2010,Países Baixos (Holanda),2896,11444,3.951657458563536
2011,Países Baixos (Holanda),5948,18399,3.093308675184936
2012,Países Baixos (Holanda),3854,25485,6.612610275038921
2013,Países Baixos (Holanda),1822,10000,5.48847420417124
2014,Países Baixos (Holanda),8280,51852,6.26231884057971
2015,Países Baixos (Holanda),1665,7907,4.748948948948949
2016,Países Baixos (Holanda),0,0,0.0
2017,Países Baixos (Holanda),0,0,0.0
2018,Países Baixos (Holanda),0,0,0.0
2019,Países Baixos (Holanda),432,923,2.136574074074074
2020,Países Baixos (Holanda),38,717,18.86842105263158
2021,Países Baixos (Holanda),86,479,5.569767441860465
2022,Países Baixos (Holanda),707,6038,8.54031117397454
2023,Países Baixos (Holanda),3,49,16.333333333333332
2008,Panamá,0,0,0.0
2009,Panamá,0,0,0.0
2010,Panamá,27,30,1.1111111111111112
2011,Panamá,0,0,0.0
2012,Panamá,0,0,0.0
2013,Panamá,0,0,0.0
2014,Panamá,0,0,0.0
2015,Panamá,0,0,0.0
2016,Panamá,0,0,0.0
2017,Panamá,0,0,0.0
2018,Panamá,319,740,2.3197492163009406
2019,Panamá,2929,6126,2.091498805052919
2020,Panamá,7163,15019,2.0967471729722185
2021,Panamá,1639,4514,2.75411836485662
2022,Panamá,3092,32540,10.523932729624839
2023,Panamá,7936,43115,5.432837701612903
2008,Paraguai,4637,8088,1.7442311839551434
2009,Paraguai,20099,18376,0.914274342007065
2010,Paraguai,6728,24228,3.6010701545778834
2011,Paraguai,2513,8531,3.3947473139673696
2012,Paraguai,3568,10442,2.9265695067264574
2013,Paraguai,23603,81321,3.445367114349871
2014,Paraguai,28038,96500,3.4417576146658106
2015,Paraguai,29016,70845,2.441583953680728
2016,Paraguai,40197,123169,3.064134139363634
2017,Paraguai,80951,255320,3.1540067448209412
2018,Paraguai,92114,205510,2.2310397985105412
2019,Paraguai,94620,224306,2.370598182202494
2020,Paraguai,16231,48614,2.995132770624114
2021,Paraguai,45629,136909,3.00048214951018
2022,Paraguai,48160,183187,3.803716777408638
2023,Paraguai,64662,192975,2.9843648510717267
2008,Peru,0,0,0.0
2009,Peru,0,0,0.0
2010,Peru,0,0,0.0
2011,Peru,0,0,0.0
2012,Peru,0,0,0.0
2013,Peru,0,0,0.0
2014,Peru,0,0,0.0
2015,Peru,0,0,0.0
2016,Peru,0,0,0.0
2017,Peru,0,0,0.0
2018,Peru,1577,6379,4.045022194039315
2019,Peru,596,1854,3.110738255033557
2020,Peru,0,0,0.0
2021,Peru,0,0,0.0
2022,Peru,0,0,0.0
2023,Peru,108,756,7.0
2008,Polônia,2682,10390,3.8739746457867263
2009,Polônia,1545,6859,4.439482200647249
2010,Polônia,90,599,6.655555555555556
2011,Polônia,0,0,0.0
2012,Polônia,0,0,0.0
2013,Polônia,0,0,0.0
2014,Polônia,206,1245,6.043689320388349
2015,Polônia,225,2310,10.266666666666667
2016,Polônia,0,0,0.0
2017,Polônia,0,0,0.0
2018,Polônia,23099,73608,3.186631455907182
2019,Polônia,18810,57107,3.0359914938862307
2020,Polônia,14,19,1.3571428571428572
2021,Polônia,0,0,0.0
2022,Polônia,0,0,0.0
2023,Polônia,126,659,5.23015873015873
2008,Porto Rico,0,0,0.0
2009,Porto Rico,0,0,0.0
2010,Porto Rico,0,0,0.0
2011,Porto Rico,0,0,0.0
2012,Porto Rico,0,0,0.0
2013,Porto Rico,0,0,0.0
2014,Porto Rico,0,0,0.0
2015,Porto Rico,45,1736,38.577777777777776
2016,Porto Rico,0,0,0.0
2017,Porto Rico,0,0,0.0
2018,Porto Rico,100,1512,15.12
2019,Porto Rico,0,0,0.0
2020,Porto Rico,0,0,0.0
2021,Porto Rico,0,0,0.0
2022,Porto Rico,0,0,0.0
2023,Porto Rico,0,0,0.0
2008,Portugal,0,0,0.0
2009,Portugal,0,0,0.0
2010,Portugal,5387,17475,3.2439205494709484
2011,Portugal,0,0,0.0
2012,Portugal,0,0,0.0
2013,Portugal,0,0,0.0
2014,Portugal,0,0,0.0
2015,Portugal,0,0,0.0
2016,Portugal,0,0,0.0
2017,Portugal,756,11568,15.301587301587302
2018,Portugal,1552,23255,14.98389175257732
2019,Portugal,1288,15933,12.370341614906833
2020,Portugal,631,11065,17.53565768621236
2021,Portugal,21,135,6.428571428571429
2022,Portugal,56,612,10.928571428571429
2023,Portugal,2191,38616,17.62482884527613
2008,Quênia,0,0,0.0
2009,Quênia,0,0,0.0
2010,Quênia,0,0,0.0
2011,Quênia,0,0,0.0
2012,Quênia,80,483,6.0375
2013,Quênia,1,1,1.0
2014,Quênia,0,0,0.0
2015,Quênia,0,0,0.0
2016,Quênia,0,0,0.0
2017,Quênia,100,1512,15.12
2018,Quênia,0,0,0.0
2019,Quênia,0,0,0.0
2020,Quênia,0,0,0.0
2021,Quênia,0,0,0.0
2022,Quênia,0,0,0.0
2023,Quênia,0,0,0.0
2008,Reino Unido,20880,70326,3.3681034482758623
2009,Reino Unido,0,0,0.0
2010,Reino Unido,13501,55256,4.092733871565069
2011,Reino Unido,1980,8040,4.0606060606060606
2012,Reino Unido,11896,66897,5.623486886348353
2013,Reino Unido,13900,73941,5.319496402877697
2014,Reino Unido,131483,607711,4.621973943399527
2015,Reino Unido,16511,97055,5.878202410514203
2016,Reino Unido,56615,223774,3.952556742912656
2017,Reino Unido,27700,101672,3.6704693140794222
2018,Reino Unido,14626,72651,4.96725010255709
2019,Reino Unido,11049,54428,4.9260566567110144
2020,Reino Unido,8084,42414,5.246660069272638
2021,Reino Unido,7130,45041,6.31711079943899
2022,Reino Unido,9305,53968,5.799892530897367
2023,Reino Unido,16057,86879,5.410662016565984
2008,Republica Dominicana,0,0,0.0
2009,Republica Dominicana,0,0,0.0
2010,Republica Dominicana,0,0,0.0
2011,Republica Dominicana,0,0,0.0
2012,Republica Dominicana,0,0,0.0
2013,Republica Dominicana,0,0,0.0
2014,Republica Dominicana,0,0,0.0
2015,Republica Dominicana,0,0,0.0
2016,Republica Dominicana,0,0,0.0
2017,Republica Dominicana,0,0,0.0
2018,Republica Dominicana,0,0,0.0
2019,Republica Dominicana,0,0,0.0
2020,Republica Dominicana,0,0,0.0
2021,Republica Dominicana,0,0,0.0
2022,Republica Dominicana,0,0,0.0
2023,Republica Dominicana,0,0,0.0
2008,Republica Tcheca,493,1125,2.281947261663286
2009,Republica Tcheca,395,900,2.278481012658228
2010,Republica Tcheca,0,0,0.0
2011,Republica Tcheca,526,2020,3.840304182509506
2012,Republica Tcheca,0,0,0.0
2013,Republica Tcheca,158,1755,11.10759493670886
2014,Republica Tcheca,7,66,9.428571428571429
2015,Republica Tcheca,23,278,12.08695652173913
2016,Republica Tcheca,94,532,5.659574468085107
2017,Republica Tcheca,207,942,4.550724637681159
2018,Republica Tcheca,0,0,0.0
2019,Republica Tcheca,0,0,0.0
2020,Republica Tcheca,0,0,0.0
2021,Republica Tcheca,0,0,0.0
2022,Republica Tcheca,0,0,0.0
2023,Republica Tcheca,0,0,0.0
2008,Rússia,0,0,0.0
2009,Rússia,0,0,0.0
2010,Rússia,0,0,0.0
2011,Rússia,0,0,0.0
2012,Rússia,0,0,0.0
2013,Rússia,0,0,0.0
2014,Rússia,0,0,0.0
2015,Rússia,0,0,0.0
2016,Rússia,0,0,0.0
2017,Rússia,0,0,0.0
2018,Rússia,47765,18240,0.38186956976865905
2019,Rússia,71654,27360,0.381834928964189
2020,Rússia,0,0,0.0
2021,Rússia,0,0,0.0
2022,Rússia,990,5280,5.333333333333333
2023,Rússia,0,0,0.0
2008,Serra Leoa,0,0,0.0
2009,Serra Leoa,0,0,0.0
2010,Serra Leoa,0,0,0.0
2011,Serra Leoa,0,0,0.0
2012,Serra Leoa,0,0,0.0
2013,Serra Leoa,0,0,0.0
2014,Serra Leoa,0,0,0.0
2015,Serra Leoa,0,0,0.0
2016,Serra Leoa,0,0,0.0
2017,Serra Leoa,0,0,0.0
2018,Serra Leoa,0,0,0.0
2019,Serra Leoa,0,0,0.0
2020,Serra Leoa,450,2140,4.7555555555555555
2021,Serra Leoa,225,1070,4.7555555555555555
2022,Serra Leoa,225,1165,5.177777777777778
2023,Serra Leoa,271,1287,4.749077490774908
2008,Singapura,0,0,0.0
2009,Singapura,0,0,0.0
2010,Singapura,0,0,0.0
2011,Singapura,0,0,0.0
2012,Singapura,0,0,0.0
2013,Singapura,0,0,0.0
2014,Singapura,0,0,0.0
2015,Singapura,0,0,0.0
2016,Singapura,0,0,0.0
2017,Singapura,0,0,0.0
2018,Singapura,0,0,0.0
2019,Singapura,0,0,0.0
2020,Singapura,979,2193,2.240040858018386
2021,Singapura,525,926,1.7638095238095237
2022,Singapura,642,5235,8.154205607476635
2023,Singapura,209,599,2.8660287081339715
2008,Suécia,5922,17100,2.8875379939209727
2009,Suécia,2070,10950,5.2898550724637685
2010,Suécia,0,0,0.0
2011,Suécia,0,0,0.0
2012,Suécia,0,0,0.0
2013,Suécia,450,6470,14.377777777777778
2014,Suécia,98,534,5.448979591836735
2015,Suécia,292,2190,7.5
2016,Suécia,140,352,2.5142857142857142
2017,Suécia,298,1136,3.8120805369127515
2018,Suécia,54,218,4.037037037037037
2019,Suécia,0,0,0.0
2020,Suécia,0,0,0.0
2021,Suécia,0,0,0.0
2022,Suécia,0,0,0.0
2023,Suécia,0,0,0.0
2008,Suíça,16830,45662,2.713131313131313
2009,Suíça,0,0,0.0
2010,Suíça,0,0,0.0
2011,Suíça,3465,12250,3.5353535353535355
2012,Suíça,3780,31080,8.222222222222221
2013,Suíça,1620,14014,8.650617283950618
2014,Suíça,10936,111259,10.173646671543526
2015,Suíça,1080,9648,8.933333333333334
2016,Suíça,270,2719,10.07037037037037
2017,Suíça,1890,16884,8.933333333333334
2018,Suíça,0,0,0.0
2019,Suíça,2704,8959,3.3132396449704142
2020,Suíça,672,227,0.33779761904761907
